Segmento,Record Name,matches,Relation id
2,giovanni,2,53
2,HOLA,2,58
2,papel,2,93
2,pap,2,94
2,terrarium,2,105
2,6ninguno,2,149
2,acusmatica,2,171
2,adios,2,175
2,adios,2,176
2,administrar,2,181
2,aduana,2,189
2,aerofotografia,2,192
2,AKB48,2,209
2,al bocho le gusta la corneta,2,212
2,alambique veloz,2,215
2,alcornoque,2,225
2,ALEGORIA,2,227
2,alexandra escobar,2,248
2,alexis sanchez,2,251
2,algoritmo,2,264
2,algo,2,265
2,ALGO,2,266
2,algo,2,267
2,algo,2,268
2,algo,2,269
2,algo,2,270
2,alice,2,272
2,alma pereda,2,280
2,alma,2,282
2,almendra,2,285
2,almojarifazgo,2,286
2,ALMUB,2,287
2,america,2,306
2,amistad,2,309
2,amor y odio,2,314
2,anarquia,2,398
2,andrea,2,408
2,andrea,2,409
2,andre,2,413
2,angiotensina 1-9,2,423
2,angustia,2,425
2,anna,2,430
2,apgd,2,449
2,argentina,2,466
2,argentina,2,467
2,ARGENTINA,2,469
2,Arica,2,470
2,arte de mierda,2,481
2,asdf,2,518
2,asesino,2,685
2,aspirale,2,688
2,atentado,2,690
2,autonomia,2,699
2,autonomia,2,700
2,autonomia,2,701
2,autonomia,2,702
2,bachicha,2,739
2,balsamo,2,744
2,barcelona,2,751
2,barrio huemul,2,752
2,batman es de marvel,2,765
2,batman,2,767
2,bayron munoz,2,769
2,bbbb,2,775
2,benedetti,2,795
2,bernardo ohiggins,2,809
2,bienal de nuevos medios,2,824
2,blanco,2,842
2,bonjour,2,854
2,botman,2,860
2,Brasil,2,866
2,brasil,2,867
2,brasil,2,869
2,brasil,2,870
2,brasil,2,873
2,brasil,2,877
2,budha,2,885
2,burbujas,2,892
2,burro,2,893
2,buscando detras del telon,2,894
2,bw,2,932
2,ca,2,938
2,caca,2,966
2,caca,2,967
2,caca,2,968
2,caca,2,970
2,caca,2,972
2,calentamiento global,2,987
2,caliz,2,991
2,callar,2,992
2,callense,2,1004
2,camia,2,1008
2,camila quinteros maturana,2,1012
2,camilo andres  puebla,2,1025
2,canica,2,1036
2,cardumen,2,1049
2,carla ulloa,2,1051
2,carlos troncoso,2,1058
2,carmen riquelme,2,1065
2,carola lopez,2,1070
2,carolina fuenzalida,2,1072
2,carolina ramos,2,1077
2,carrete,2,1089
2,catalina cortázar valdés,2,1130
2,catalina cortázar valdés,2,1131
2,catalina cortazar,2,1133
2,catalina linda cortazar,2,1137
2,catalina sierpe,2,1138
2,cata,2,1147
2,caua,2,1154
2,cebolla,2,1162
2,chao,2,1186
2,Chaquican,2,1191
2,chemin,2,1195
2,chile lindo,2,1202
2,chile,2,1209
2,chile,2,1217
2,chile,2,1218
2,chile,2,1219
2,chile,2,1225
2,CHILE,2,1227
2,chile,2,1229
2,chile,2,1231
2,chris bastidas a,2,1242
2,christian montes,2,1247
2,christian montes,2,1248
2,cinemark,2,1268
2,cleverbot,2,1291
2,cliford getz,2,1293
2,club deportivo universidad catolica,2,1295
2,clubpenguin,2,1297
2,coito,2,1311
2,cojo,2,1312
2,Colchagua,2,1313
2,colombia,2,1329
2,comida tipica chilena,2,1338
2,como logro la paz interior,2,1350
2,como puedo evitar el deseo que tengo de matar flaites,2,1352
2,como ser feliz,2,1355
2,coni,2,1382
2,connie,2,1389
2,coqueta,2,1406
2,coqueta,2,1407
2,cosa,2,1417
2,craneo siervo,2,1424
2,cristian montes,2,1434
2,cris,2,1448
2,cuadrupedo,2,1454
2,cuajar,2,1455
2,cuarto poder,2,1465
2,cultura alemana,2,1469
2,cyclades,2,1474
2,cynthia correa,2,1475
2,dali,2,1486
2,daniela,2,1510
2,daniela,2,1511
2,daniela,2,1512
2,derp,2,1553
2,descansar,2,1555
2,destino,2,1562
2,deus,2,1563
2,dictadura,2,1572
2,diego antista,2,1574
2,diego duran toledo,2,1576
2,dolo,2,1629
2,don zeta,2,1633
2,donde esta  el atun,2,1635
2,donde estas  la vida,2,1638
2,dota 2,2,1641
2,douglas rushkof,2,1642
2,dubstep,2,1649
2,dunia,2,1654
2,ego,2,1674
2,el corta churro,2,1681
2,El espectador como excusa Julio Cortázar,2,1682
2,el raton con el gato,2,1692
2,el ricardo,2,1693
2,el salvador,2,1695
2,ELEGANCIA,2,1707
2,ElRubiusOMG,2,1714
2,elsa,2,1716
2,email,2,1718
2,emboar,2,1719
2,emilio   rauld,2,1722
2,enrique rivera,2,1734
2,enter,2,1736
2,entropia,2,1738
2,ERES MUJER,2,1742
2,erizo,2,1746
2,ERROR,2,1747
2,escherichia coli  enterohemorrágica,2,1751
2,espectro,2,1773
2,estas vivo,2,1782
2,esternocleidomastoideo,2,1791
2,esternocleidomastoideo,2,1792
2,estoy aqui,2,1795
2,eugenio  dittborn,2,1800
2,euritmia,2,1803
2,eve,2,1817
2,ezio,2,1825
2,fdd,2,1866
2,fdfd,2,1867
2,fecas,2,1873
2,felicidades,2,1878
2,feminismo,2,1896
2,fernando linares,2,1906
2,fernando y evelin se aman por toda la vida,2,1907
2,fgd,2,1919
2,fhf,2,1926
2,fh,2,1928
2,flor,2,1949
2,fome,2,1953
2,FOME,2,1954
2,fonema,2,1955
2,fonmea,2,1956
2,francisca  maggi,2,1970
2,francisca las heras,2,1973
2,francisco huichaqueo,2,1977
2,freddy mercury,2,1992
2,frederico,2,1995
2,fun,2,2007
2,g ft,2,2019
2,Galeria Temporal,2,2037
2,gatito,2,2052
2,gato gino,2,2056
2,gcgc,2,2119
2,geminis,2,2122
2,geoide,2,2126
2,george constanza,2,2129
2,gepe,2,2132
2,geraldine,2,2133
2,gfd,2,2137
2,ggg,2,2143
2,gg,2,2147
2,GHH,2,2154
2,gh,2,2158
2,gjjhg,2,2163
2,gladius,2,2164
2,godard,2,2167
2,google,2,2174
2,google,2,2181
2,google,2,2188
2,GOOO,2,2191
2,gta 5,2,2205
2,guama,2,2206
2,guerra del    pacifico,2,2214
2,g,2,2235
2,g,2,2236
2,haahaha,2,2238
2,happiness,2,2252
2,harley-davidson,2,2255
2,hchf,2,2258
2,hello chile jo volt  itt lenni,2,2270
2,hello world,2,2272
2,hello world,2,2273
2,hermana,2,2281
2,hg,2,2295
2,hh,2,2304
2,hh,2,2305
2,hh,2,2306
2,hi,2,2308
2,hikl,2,2311
2,hillarious,2,2312
2,hillarious,2,2313
2,hola amor mio,2,2342
2,hola como estas,2,2346
2,hola kevin,2,2350
2,hola soy german,2,2356
2,hola,2,2359
2,hola,2,2362
2,holaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2,2364
2,holaaaaa,2,2366
2,holaax,2,2370
2,hola,2,2381
2,hola,2,2385
2,hola,2,2392
2,hola,2,2393
2,hola,2,2394
2,hola,2,2396
2,hola,2,2397
2,hola,2,2400
2,hola,2,2401
2,hola,2,2402
2,hola,2,2406
2,hola,2,2408
2,hola,2,2409
2,hola,2,2410
2,hola,2,2411
2,hola,2,2414
2,hola,2,2415
2,hola,2,2417
2,hola,2,2418
2,hola,2,2419
2,hola,2,2421
2,hola,2,2422
2,hola,2,2423
2,hola,2,2424
2,hola,2,2425
2,hola,2,2431
2,hola,2,2440
2,hola,2,2443
2,hola,2,2444
2,hola,2,2455
2,hola,2,2456
2,hola,2,2457
2,hola,2,2459
2,hola,2,2461
2,hola,2,2463
2,hola,2,2464
2,hola,2,2466
2,hola,2,2468
2,hola,2,2469
2,hola,2,2473
2,hola,2,2476
2,hola,2,2488
2,hola,2,2489
2,hola,2,2501
2,hola,2,2504
2,hola,2,2507
2,hola,2,2509
2,hola,2,2512
2,hola,2,2517
2,hola,2,2518
2,hola,2,2519
2,hola,2,2521
2,hola,2,2525
2,hola,2,2526
2,hola,2,2528
2,hola,2,2530
2,hola,2,2531
2,hola,2,2532
2,hola,2,2534
2,hola,2,2535
2,hola,2,2536
2,hola,2,2541
2,hola,2,2543
2,hola,2,2546
2,hola,2,2548
2,hola,2,2549
2,hola,2,2552
2,hola,2,2556
2,hola,2,2564
2,hola,2,2567
2,hola,2,2570
2,hola,2,2573
2,hola,2,2576
2,hola,2,2579
2,hola,2,2581
2,hola,2,2583
2,hola,2,2588
2,hola,2,2617
2,hola,2,2620
2,hola,2,2621
2,hola,2,2622
2,hola,2,2623
2,hola,2,2626
2,hola,2,2627
2,hola,2,2628
2,hola,2,2631
2,hola,2,2633
2,hola,2,2635
2,hola,2,2637
2,hola,2,2638
2,hola,2,2640
2,hola,2,2641
2,hola,2,2642
2,hola,2,2643
2,hola,2,2644
2,hola,2,2645
2,hola,2,2647
2,hola,2,2650
2,hola,2,2651
2,hola,2,2652
2,hola,2,2653
2,hola,2,2654
2,hola,2,2655
2,hola,2,2657
2,hola,2,2658
2,hola,2,2662
2,Holi,2,2667
2,holo,2,2674
2,hol,2,2677
2,hol,2,2678
2,hombre,2,2680
2,horacio perez,2,2692
2,hugo chavez,2,2713
2,humano,2,2716
2,humildad,2,2719
2,idem,2,2733
2,ignacio,2,2739
2,iker ibarra,2,2745
2,imagenes de one direction,2,2750
2,imagen,2,2751
2,imaginacion,2,2752
2,infinidad,2,2760
2,infinito,2,2763
2,inteligencia emocional,2,2776
2,iphonw,2,2784
2,j d salinger,2,2817
2,jacinto,2,2820
2,JAIDEFINICHON,2,2825
2,jajaja,2,2835
2,jale,2,2837
2,jamir,2,2842
2,jano,2,2850
2,java,2,2852
2,javiera reyes,2,2859
2,javiera reyes,2,2860
2,javiera torres griffero,2,2861
2,jean pierre,2,2876
2,jeronimo te amo,2,2880
2,jeronimo,2,2882
2,jeronimo,2,2883
2,jeronimo,2,2884
2,jeronimo,2,2886
2,jeronimo,2,2887
2,jeronimo,2,2888
2,jeronimo,2,2889
2,jessica,2,2893
2,ji,2,2917
2,jjcc,2,2919
2,jn,2,2935
2,joder,2,2944
2,johnson johan johan,2,2952
2,jorge catoni,2,2964
2,juan ignacio chamorro sepulveda,2,2991
2,juego,2,3017
2,juez,2,3020
2,justin bieber,2,3039
2,justin bieber,2,3040
2,Justin Bieber,2,3041
2,justin bieeber,2,3045
2,karelia,2,3061
2,katy perry,2,3078
2,kawai,2,3081
2,keibo oiwa,2,3084
2,keibo oiwa,2,3085
2,ken block,2,3088
2,kendra lust,2,3090
2,kerkplein,2,3098
2,kk ck,2,3113
2,kratok,2,3121
2,Kuotus,2,3126
2,kuroi,2,3128
2,k,2,3133
2,la mariposa,2,3142
2,la relatividad del mundo y el univr,2,3149
2,lala,2,3157
2,lala,2,3159
2,lamborghini gallardo,2,3160
2,lar,2,3165
2,laura,2,3172
2,leonardo de la cerda,2,3194
2,Lia,2,3205
2,liliana,2,3215
2,lll,2,3229
2,locos culiaos shuper,2,3239
2,lol,2,3262
2,lol,2,3263
2,lonquen,2,3269
2,los bunkers,2,3281
2,los pinguinos son comida,2,3284
2,lotte,2,3287
2,Lotte,2,3288
2,lua de mel,2,3294
2,luc,2,3301
2,lugar,2,3304
2,luna,2,3323
2,luna,2,3324
2,luz,2,3328
2,mac,2,3350
2,magarita alarcon,2,3355
2,magialiquid,2,3357
2,maialen mangas,2,3358
2,maldad,2,3365
2,malito,2,3367
2,marcianos,2,3413
2,margarita alarcon,2,3415
2,margarita alarcon,2,3416
2,margarita bustos,2,3418
2,mariana ay caramba,2,3430
2,marianne,2,3434
2,maritza geell,2,3449
2,martin buscando  como entender esto,2,3453
2,martin,2,3458
2,martin,2,3460
2,marti,2,3461
2,matrices,2,3497
2,maty,2,3504
2,mauricio smith,2,3506
2,mazmorra,2,3519
2,me dejaron plantada,2,3523
2,me gusta el tangananica,2,3525
2,me llamo julieta,2,3529
2,me puedes decir porque eres asi,2,3531
2,meaning of life,2,3532
2,mediocre,2,3534
2,mencer,2,3540
2,mentira,2,3542
2,merlin,2,3549
2,mexico,2,3564
2,mexico,2,3568
2,michelle  bachelet,2,3576
2,michelle bachelet,2,3577
2,michelle bachelet,2,3578
2,michelle bachelet,2,3579
2,miedo,2,3592
2,miedo,2,3593
2,miguel angel salazar bastidas,2,3600
2,minecraft,2,3611
2,minecraft,2,3613
2,minecraft,2,3614
2,minecraft,2,3616
2,minecraft,2,3618
2,minecrraft,2,3619
2,miquel cabrera fernandez,2,3624
2,mirella,2,3626
2,Misical Space tyfoon,2,3632
2,modelo de ocupacion humana,2,3644
2,moiver,2,3647
2,monsieur olivier,2,3656
2,moral,2,3660
2,musica,2,3705
2,musica,2,3706
2,musica,2,3707
2,musica,2,3708
2,musica,2,3709
2,musica,2,3711
2,musica,2,3712
2,musica,2,3713
2,musica,2,3714
2,musica,2,3715
2,MUSICA,2,3716
2,musica,2,3717
2,musica,2,3718
2,mutt,2,3719
2,nada,2,3733
2,nada,2,3734
2,nada,2,3735
2,nada,2,3736
2,natacha,2,3747
2,natacha,2,3748
2,natalia bevilacqua,2,3749
2,natram,2,3764
2,neurotransmisor,2,3777
2,nian cat,2,3780
2,nicki minaj,2,3782
2,nicolas cage,2,3786
2,noooooo,2,3852
2,now,2,3858
2,nudo,2,3882
2,nutella,2,3888
2,objeto,2,3899
2,oco,2,3900
2,oeon,2,3904
2,oi,2,3908
2,oi,2,3909
2,oi,2,3910
2,oi,2,3911
2,ojete,2,3913
2,OJO,2,3917
2,old,2,3941
2,olho,2,3942
2,oscar,2,3971
2,pablo mena,2,3984
2,pablo neruda,2,3986
2,pablo neruda,2,3987
2,pablo neruda,2,3988
2,palabra,2,4002
2,paralelepipedo,2,4036
2,paralelo,2,4037
2,PASION,2,4048
2,paula barouh,2,4060
2,paula cortes,2,4061
2,paula rojas,2,4064
2,PCD,2,4089
2,pedro de valdivia,2,4096
2,pedro,2,4099
2,pensar,2,4135
2,perro,2,4172
2,Peru,2,4185
2,pewdute,2,4188
2,pewdute,2,4189
2,phillip k dick,2,4190
2,picachu,2,4198
2,pikachu,2,4214
2,pinoshit,2,4222
2,pipi,2,4228
2,pistola de quaker,2,4233
2,planet hemp,2,4235
2,planta,2,4239
2,pochipochi,2,4247
2,pollo,2,4258
2,popn music sunny park,2,4266
2,PORFIRIO QUINTERO CADENA,2,4268
2,proceso adiabatico,2,4297
2,Prueba diferentes palabras clave,2,4432
2,psoleo,2,4604
2,psu,2,4605
2,puc,2,4607
2,Puerto Montt,2,4612
2,pupa,2,4615
2,puta,2,4617
2,PUTRETE,2,4622
2,qsQ,2,4626
2,qué significa el mismo resultado,2,4627
2,que esta haciendo francisco,2,4641
2,quien es   el espiritu de chuck norris,2,4660
2,quien soy,2,4665
2,quimica,2,4672
2,Rafael  Marin,2,4674
2,rafael correa,2,4675
2,Rene maricon,2,4703
2,respuesta,2,4708
2,resultado,2,4712
2,retrasado lucas,2,4714
2,rfg,2,4722
2,rimbaud,2,4740
2,roberto matta,2,4755
2,roberto matta,2,4756
2,rodrigo antonio  aguirre henriquez,2,4766
2,roko,2,4769
2,rosario aninat,2,4779
2,roser,2,4781
2,RUPTURA,2,4795
2,r,2,4798
2,saber,2,4800
2,SADIE THOMPSON,2,4804
2,saimon,2,4805
2,salir,2,4809
2,samyproducciones,2,4820
2,santa  luisa parcela 4 colina,2,4823
2,sarcofago,2,4841
2,Satisfacción,2,4842
2,saudade,2,4844
2,sdbn,2,4846
2,search,2,4850
2,search,2,4851
2,sebastián velásquez,2,4853
2,sebastian,2,4862
2,sekaichii hatsukoi,2,4866
2,shakira,2,4888
2,shift studio,2,4897
2,shingeki no kyogin,2,4899
2,shingeki no kyojin,2,4900
2,si claro es la primera vez que vengo pero la gente es muy simpatica,2,4903
2,silvermist,2,4912
2,simon,2,4914
2,simo,2,4916
2,si,2,4925
2,si,2,4926
2,si,2,4930
2,si,2,4936
2,si,2,4937
2,si,2,4938
2,si,2,4939
2,smart mooving,2,4949
2,soltera otra vez,2,4965
2,sophie is cool,2,4988
2,spinetta,2,4997
2,stephanie,2,5005
2,SUCCES,2,5011
2,sugerencias,2,5014
2,super,2,5182
2,synecdoche,2,5186
2,tangananica,2,5198
2,Tania Novoa,2,5199
2,tanner    foust,2,5201
2,tarea,2,5202
2,tarro,2,5204
2,tate,2,5206
2,tati,2,5207
2,te amo,2,5213
2,te amo,2,5214
2,tea party,2,5218
2,the beatles,2,5245
2,the other,2,5248
2,think,2,5250
2,thomas,2,5251
2,tigres,2,5260
2,tio,2,5262
2,tmr,2,5267
2,TOLERANCIA,2,5269
2,tonto,2,5283
2,torpediem,2,5285
2,uiop,2,5315
2,une  impression mysterieuse,2,5320
2,universidad catolica,2,5323
2,universidad de   chile,2,5324
2,universidad de chile,2,5325
2,universidad federico santa maria,2,5326
2,ursula,2,5341
2,utopia,2,5349
2,uyui,2,5354
2,valentina mena rojas,2,5361
2,valparaiso,2,5379
