Segmento,Record Name,matches,Relation id
2,COMO ffff,2,12
2,correcion,2,14
2,casa,2,37
2,cuervos,2,40
2,felipe hernandez,2,45
2,filsa,2,47
2,FIRMA,2,48
2,giovanni,2,53
2,hola,2,60
2,hola,2,61
2,joyeria,2,72
2,papel,2,93
2,piñera,2,96
2,28,2,140
2,2pac,2,141
2,abdon,2,162
2,administrar,2,181
2,aedo,2,190
2,aggro,2,194
2,agua,2,197
2,agua,2,201
2,AL REVES,2,214
2,alba ibet,2,219
2,alba montoya,2,220
2,aldana,2,226
2,alejandra cortázar valdés,2,230
2,alejandra cortázar valdés,2,231
2,alejandra cortázar valdés,2,232
2,alejandra cortázar valdés,2,233
2,alejandra,2,235
2,alemania,2,243
2,alexandra toro moreno,2,250
2,alexis sanchez,2,251
2,alexis,2,253
2,alexis,2,254
2,ale,2,256
2,algoritmos,2,261
2,algunas son chatrra y itras son la papa,2,271
2,alienigenas,2,275
2,almendra quintanilla,2,283
2,almudena,2,289
2,amorío,2,312
2,amor,2,316
2,amor,2,317
2,amor,2,323
2,amor,2,343
2,amor,2,355
2,amor,2,368
2,amor,2,380
2,amor,2,382
2,amor,2,385
2,amor,2,386
2,amour,2,387
2,ana huberman,2,389
2,angelishi,2,419
2,animales,2,427
2,anonymous,2,432
2,ao,2,447
2,apple,2,451
2,Aracelly,2,452
2,arquitectura,2,475
2,arroz,2,477
2,arte con acuarelas,2,479
2,arte moderno,2,483
2,artes mediales,2,485
2,artes,2,488
2,arte,2,489
2,arte,2,496
2,ARTE,2,497
2,arte,2,500
2,arte,2,503
2,arte,2,506
2,arte,2,507
2,arte,2,509
2,arte,2,510
2,asdfg,2,516
2,ayer,2,717
2,a,2,719
2,a,2,722
2,a,2,724
2,barbara,2,747
2,basura,2,763
2,bbb,2,776
2,bebe,2,781
2,bellas artes,2,791
2,belulein,2,792
2,beta testing,2,811
2,be,2,812
2,bibliotecarias,2,819
2,bienal de artes visuales,2,823
2,bienal de nuevos medios,2,824
2,boson de higgs,2,856
2,brasil,2,863
2,brasil,2,876
2,buenas noches,2,887
2,burro,2,893
2,buscar,2,899
2,buscp,2,924
2,buyi,2,930
2,calabazas con papas,2,985
2,calco,2,986
2,callense por favor,2,1001
2,camila cocina varas,2,1010
2,camila,2,1014
2,camila,2,1016
2,candy crush saga,2,1035
2,cara,2,1048
2,Carlos Cocina,2,1053
2,carta,2,1091
2,casa,2,1096
2,casa,2,1097
2,CASA,2,1099
2,casa,2,1102
2,casa,2,1103
2,casa,2,1104
2,casa,2,1105
2,casa,2,1108
2,casa,2,1109
2,casa,2,1112
2,casa,2,1113
2,casa,2,1114
2,casa,2,1115
2,casa,2,1118
2,casa,2,1119
2,casa,2,1120
2,chatran,2,1193
2,chocolate,2,1237
2,CHRISTIAN   MONTES,2,1243
2,christian montes,2,1249
2,cietificos,2,1267
2,clau,2,1290
2,club penguin,2,1296
2,cogollo,2,1310
2,cojo,2,1312
2,colegio madre ana eugenia,2,1321
2,colibri,2,1323
2,como hacer un robot,2,1349
