Segmento,Record Name,matches,Relation id
4,cta,4,5
4,santiago,4,21
4,santigo,4,22
4,amalia,4,27
4,andrea,4,28
4,hola,4,63
4,justin bieber,4,73
4,mar,4,85
4,ricardo arjona,4,99
4,robot,4,101
4,salud,4,103
4,santiago,4,104
4,1SI,4,127
4,1,4,128
4,23 1,4,137
4,2,4,142
4,33,4,145
4,99999999999999999999999999999999999999,4,153
4,999999999999999999999999999999,4,154
4,9999999999999999,4,155
4,abandono,4,161
4,actualidad,4,169
4,adios,4,179
4,aduana,4,189
4,ala,4,218
4,algoritmos,4,262
4,algoritmo,4,264
4,alicia alonso,4,273
4,allogenes,4,279
4,alvaro,4,295
4,alvaro,4,296
4,ambar,4,302
4,amor,4,329
4,amor,4,330
4,amor,4,348
4,amor,4,349
4,amor,4,357
4,amor,4,376
4,ana katalina torres,4,390
4,andes,4,404
4,andrea,4,408
4,andrea,4,409
4,animal,4,428
4,anormais,4,433
4,arbol,4,456
4,ARBOL,4,457
4,artes visuales,4,486
4,artes,4,487
4,atentado,4,690
4,autonomia,4,699
4,a,4,720
4,a,4,725
4,a,4,726
4,a,4,728
4,babapapa,4,734
4,barbara,4,748
4,barbara,4,749
4,basura,4,764
4,bazinga,4,771
4,bbbb,4,775
4,Berlin,4,806
4,bicicleta,4,821
4,brasil,4,864
4,brasil,4,865
4,brasil,4,877
4,brazil,4,880
4,bruno,4,884
4,busqueda,4,926
4,BUSQUEDA,4,927
4,busqueda,4,928
4,busqueda,4,929
4,camila de los reyes,4,1011
4,caren,4,1050
4,carola lopez,4,1070
4,CAROLINA FAUNDEZ,4,1071
4,carolina,4,1082
4,carolina,4,1087
4,casa,4,1092
4,casa,4,1093
4,casa,4,1095
4,casa,4,1098
4,casa,4,1106
4,casa,4,1107
4,casa,4,1116
4,casa,4,1117
4,casa,4,1121
4,casa,4,1122
4,catalina cono,4,1129
4,catalina torres,4,1139
4,cauanne,4,1153
4,celular,4,1165
4,cerveza,4,1170
4,chacana,4,1174
4,chao,4,1185
4,chao,4,1186
4,cholo,4,1239
4,chomi,4,1240
4,christian montees,4,1245
4,Christiane Chagas Pereira,4,1252
4,chupalo,4,1259
4,CHUPALO,4,1261
4,claudia,4,1284
4,claudia,4,1285
4,cobre,4,1303
4,colegio,4,1322
4,colibri,4,1324
4,coma,4,1335
4,comida tipica chilena,4,1338
4,como es el  planeta,4,1346
4,como son las moster gih,4,1356
4,comunismo,4,1364
4,concepto,4,1371
4,coni,4,1383
4,contingencia,4,1401
4,cony dacardill,4,1402
4,corgi puppy,4,1414
4,cristobal,4,1445
4,cthulhu,4,1451
4,CUADRADO,4,1453
4,cual es tu nombre,4,1459
4,C,4,1479
4,daniela,4,1505
4,DANIEL,4,1515
4,death note,4,1540
4,democracia,4,1551
4,descansar,4,1555
4,descansar,4,1556
4,diario de vida,4,1569
4,dios,4,1601
4,DIOS,4,1613
4,doctoe who,4,1623
4,domingo leon,4,1630
4,edder,4,1662
4,el abismo,4,1677
4,El espectador como excusa Julio Cortázar,4,1682
4,el toridio esta gordo,4,1702
4,elefante,4,1706
4,escorpion,4,1753
4,escorpion,4,1755
4,ese,4,1768
4,esmerilemelo,4,1769
4,ESTAFILOCOCO,4,1777
4,esternocleidomastoideo,4,1791
4,eumycota,4,1802
4,evelyn,4,1814
4,evelyn,4,1815
4,eve,4,1817
4,excentrico,4,1819
4,exposicion,4,1822
4,fantasma,4,1857
4,fauvismo,4,1862
4,fea,4,1870
4,felicidade,4,1879
4,felipe,4,1890
4,feminismo,4,1897
4,Filipe e Ricardo,4,1929
4,filosofia,4,1934
4,fleur de lotus,4,1939
4,flor,4,1945
4,fotos,4,1962
4,francisco mancilla davila,4,1979
4,FRANCO VALENCIA ROIG,4,1984
4,frol,4,2000
4,fuego,4,2003
4,fuego,4,2004
4,gabi,4,2021
4,gacela,4,2029
4,Galeria Temporal,4,2037
4,gatos,4,2058
4,gatos,4,2059
4,gatos,4,2060
4,gatos,4,2062
4,gatos,4,2064
4,gato,4,2076
4,gato,4,2089
4,gato,4,2092
4,gato,4,2098
4,gato,4,2099
4,gato,4,2101
4,gato,4,2104
4,gato,4,2108
4,gato,4,2111
4,gato,4,2112
4,GENOMA,4,2123
4,GHGFJ,4,2151
4,ghghgh,4,2153
4,GHH,4,2154
4,gil,4,2160
4,GOOO,4,2191
4,GORDA,4,2192
4,happy,4,2254
4,hector,4,2266
4,hey am talk with you,4,2285
4,hhhh,4,2300
4,histerica,4,2319
4,hoal,4,2331
4,hola come caca,4,2344
4,hola,4,2400
4,hola,4,2401
4,hola,4,2418
4,hola,4,2525
4,hola,4,2547
4,hola,4,2569
4,hola,4,2570
4,hola,4,2571
4,hola,4,2573
4,hola,4,2587
4,hola,4,2593
4,hola,4,2594
4,hola,4,2625
4,holla,4,2673
4,hongos,4,2687
4,horacio,4,2693
4,hormigon armado,4,2695
4,imbecil,4,2755
4,inteligencia artificial,4,2775
4,internet,4,2779
4,irak,4,2785
4,isauro torres,4,2791
4,isauro torres,4,2792
4,isis,4,2797
4,jale,4,2837
4,jana,4,2845
4,jazz,4,2875
4,jeronimo te amo,4,2880
4,jhjn,4,2905
4,jony,4,2962
4,jorge villegas diseñador,4,2970
4,jorge,4,2972
4,jorge,4,2974
4,jose,4,2982
4,joy,4,2986
4,joy,4,2987
4,JUAN PABLO,4,2996
4,jueves,4,3018
4,julieta la bella,4,3024
4,justin bieber,4,3039
4,justin bieber,4,3040
4,Justin Bieber,4,3041
4,justin bieber,4,3044
4,justin bieeber,4,3045
4,karen,4,3062
4,ken block,4,3088
4,lana del rey,4,3162
4,lar,4,3165
4,lego,4,3185
4,lenovo2013,4,3189
4,leonardo de la cerda,4,3194
4,leon,4,3198
4,lh,4,3204
4,light yagami,4,3214
4,Loh peshoh,4,3250
4,loli,4,3255
4,lol,4,3260
4,lol,4,3262
4,lorenzo,4,3277
4,lou y samanta,4,3290
4,lucia del carmen suarez riquelme,4,3299
4,luis,4,3310
4,luis,4,3311
4,luna,4,3323
4,luna,4,3324
4,lupus,4,3327
4,luz,4,3331
4,maca,4,3347
4,madness,4,3352
4,manue echeverria,4,3386
4,manuel,4,3392
4,marcelo valenzuela,4,3410
4,maria,4,3436
4,maria,4,3437
4,marihuana,4,3439
4,marilaf,4,3443
4,mario,4,3447
4,mariposa,4,3448
4,marvel,4,3462
4,mar,4,3465
4,mar,4,3468
4,mas resultados,4,3471
4,mascara,4,3474
4,maty,4,3504
4,me  haces muy feliz,4,3521
4,me llamo jesu,4,3528
4,merisma,4,3548
4,merry,4,3551
4,metro,4,3563
4,mexico,4,3564
4,mexico,4,3565
4,mi pololo es boni,4,3571
4,michelle bachelet,4,3578
4,michelle bachelet,4,3582
4,micro,4,3589
4,miedo,4,3590
4,MIERDA,4,3598
4,Minecraft,4,3617
4,miriam,4,3629
4,mitrovic,4,3636
4,mi,4,3637
4,molecula,4,3649
4,mono,4,3655
4,muceo,4,3667
4,muerte y sufrimiento,4,3672
4,muerte,4,3673
4,muerte,4,3676
4,muerte,4,3677
4,muro de berlin,4,3688
4,museo,4,3695
4,museo,4,3698
4,museo,4,3701
4,musica,4,3706
4,musica,4,3712
4,musica,4,3713
4,naturaleza,4,3765
4,Negro,4,3773
4,nicolas cage,4,3786
4,nicolas luco,4,3791
4,nicola,4,3799
4,nombre,4,3851
4,no,4,3860
4,no,4,3867
4,no,4,3868
4,nube,4,3878
4,ola k ase,4,3923
4,ola,4,3931
4,ola,4,3933
4,ola,4,3936
4,one direction,4,3955
4,ornitorrinco,4,3964
4,pablo naruda,4,3985
4,pablo neruda,4,3987
4,pais,4,4000
4,paloma,4,4005
4,pandas,4,4017
4,papa,4,4026
4,papa,4,4028
4,paracoccidioidomicosisprotitissarcomucosis,4,4032
4,Partogenesis,4,4045
4,paula,4,4069
4,paula,4,4070
4,paulo,4,4077
4,pearl jam,4,4091
4,pearl jam,4,4092
4,pedro,4,4099
4,pene de burro,4,4107
4,perras,4,4145
4,perrito,4,4148
4,personalizacion,4,4180
4,piñera,4,4193
4,pico ctm,4,4201
4,PICO,4,4208
4,pilar,4,4215
4,PISCO,4,4230
4,pisis,4,4232
4,plantas,4,4238
4,planta,4,4239
4,please no more,4,4245
4,poop,4,4264
4,poto,4,4276
4,poto,4,4278
4,poto,4,4279
4,poto,4,4280
4,poto,4,4281
4,poto,4,4285
4,poto,4,4287
4,proceso adiabatico,4,4297
4,PROPIEDAD PRIVADA,4,4304
4,pueblo,4,4608
4,puerta,4,4611
4,punta lobos,4,4614
4,puta,4,4619
4,python,4,4623
4,que es lombricultura,4,4639
4,quien soy yo,4,4664
4,quieres comer mi mierda,4,4667
4,quiero comer,4,4668
4,quimica,4,4672
4,real madrid,4,4693
4,resultado,4,4712
4,revelion  de las maquinas,4,4715
4,REVOLUCAO CUBANA,4,4716
4,robot,4,4759
4,robot,4,4761
4,rodrigo antonio  aguirre henriquez,4,4766
4,rojo,4,4768
4,saber,4,4800
4,salir,4,4809
4,salut,4,4814
4,SAL,4,4816
4,santiago,4,4832
4,sarcasmo,4,4839
4,selk nam,4,4867
4,sergio,4,4877
4,sexo,4,4887
4,sheshito,4,4896
4,siento y miento,4,4906
4,signo,4,4907
4,silverio,4,4911
4,slayer,4,4947
4,sofia bartsch,4,4954
4,soledad,4,4963
4,sonido,4,4981
4,sophie is cool,4,4988
4,stefany,4,5000
4,stephanie fox,4,5004
4,sugerencias,4,5014
4,tarea,4,5202
4,tarro,4,5204
4,tate,4,5206
4,te   dare la mano,4,5210
4,te quiero,4,5216
4,teoria de las cuerdas,4,5231
4,tere,4,5236
4,tere,4,5237
4,the dillinger escape plan,4,5246
4,TIEMPO,4,5252
4,tierra,4,5258
4,tio,4,5262
4,tiranosaurio rex,4,5264
4,ti,4,5266
4,TOLERANCIA,4,5269
4,tortuga,4,5289
4,trucha,4,5301
4,truli,4,5303
4,universo,4,5330
4,valentina,4,5374
4,valeria,4,5375
4,viagem,4,5399
4,viaje,4,5402
4,Vicente,4,5414
4,vida,4,5433
4,vida,4,5445
4,vigilantes,4,5448
4,VIOLETTA,4,5456
4,violines,4,5460
4,vos sos dios,4,5473
4,wtf,4,5503
4,w,4,5504
4,xvideoscom,4,5512
4,yahaira,4,5522
4,yajaira,4,5523
4,yegua,4,5526
4,yhwh,4,5536
4,yo amo chile,4,5540
4,yoyo,4,5551
4,YO,4,5555
4,hola,4,5616
4,"""malicioso"" ",4,5632
4,paulo,4,5641
4,"""spam"" ",4,5657
