Segmento,Record Name,matches,Relation id
5,roberto ga,8,1
5,coqueta,6,2
5,adobe,7,3
5,cta,6,5
5,c,20,6
5,n,8,7
5,angel,20,10
5,hola,8,16
5,kilo,10,18
5,lana del rey,17,19
5,musica,8,20
5,santiago,12,21
5,santigo,12,22
5,2 24,15,23
5,algo,8,25
5,alo,8,26
5,amalia,6,27
5,andrea,8,28
5,anxo vilar,7,29
5,arch,7,30
5,arte,6,32
5,bb,5,33
5,bia,5,34
5,catalina,16,38
5,chile,8,39
5,dinosaurios,8,42
5,felix bozo,8,46
5,filsa,6,47
5,FIRMA,6,48
5,freud,8,49
5,gatito,9,50
5,gatp,5,51
5,gigante de atacama,10,52
5,hi,5,56
5,hola como te llamas,6,57
5,hola,8,59
5,hola,11,63
5,hola,8,64
5,hola,6,65
5,holi,20,66
5,iquique,10,67
5,iva,9,68
5,jonathan,17,70
5,joya,5,71
5,justin bieber,11,73
5,lady gaga,10,74
5,leones,20,75
5,lkh,9,76
5,llll,10,77
5,loros,6,79
5,luz,7,81
5,luz,7,82
5,macoi,6,83
5,magnetics fields,9,84
5,mar,8,85
5,mny,7,88
5,n n,12,89
5,nooooo,8,90
5,ola,5,91
5,perrito,9,95
5,piñera,9,96
5,p,13,97
5,random,10,98
5,ricardo arjona,10,99
5,robot,20,101
5,saff,13,102
5,salud,6,103
5,santiago,12,104
5,tocopilla,13,106
5,uniacc,5,107
5,us,11,108
5,vina del mar,8,109
5,vinchuca,9,110
5,war,25,111
5,zilla,13,112
5,0ne direction,10,115
5,0,17,117
5,1001 suns,6,118
5,1001suns,6,119
5,1001,7,120
5,10,8,121
5,11 de septiembre,16,123
5,11 de septiembre,8,124
5,1,6,128
5,1,16,129
5,1,16,130
5,22,10,136
5,23 1,10,137
5,23,16,139
5,28,8,140
5,2,16,142
5,31 minutos,6,144
5,33,16,145
5,42,16,147
5,5,16,148
5,7k7kcom,8,151
5,7,9,152
5,99999999999999999999999999999999999999,5,153
5,999999999999999999999999999999,6,154
5,9999999999999999,6,155
5,9,9,156
5,aaaaaaaaaaaaaaaaa,6,157
5,aaA,5,158
5,abdon,6,162
5,aborto,8,164
5,aborto,8,165
5,alexandra barraza diaz,20,247
5,ananias gonzalez muñoz,11,397
5,ARELY RODRIGUEZ,17,460
5,brasoi,5,878
5,brenda alexandra cassab,17,881
5,cabeza de   aba,7,944
5,consuelo salinas monsalve,6,1399
5,CRISTIAN ELIZARDO,12,1431
5,diego maldonado franke,11,1581
5,djo,5,1619
5,endimionband,17,1728
5,fanny pozo,12,1849
5,garmore,17,2041
5,gft,5,2139
5,hallo,5,2244
5,hallo,5,2245
5,hhg,5,2297
5,hjc,5,2323
5,hjc,5,2324
5,IGEM UANL 2013,6,2737
5,iker ibarra moreno,14,2744
5,iker thomas ibarra moreno,13,2746
5,inefable,5,2757
5,Joana Torre do Valle,17,2936
5,jorge martin berrios torres,6,2969
5,listobar,6,3225
5,lukas bravo nicolas,10,3315
5,maria fernanda castillo soto,15,3422
5,maria jose garrido fuentes,20,3425
5,membrane pri,8,3538
5,pene123,5,4108
5,pene123,5,4109
5,reny rebolledo,7,4704
5,Roman Petersen,6,4773
5,ruidosa,9,4792
5,search,5,4849
5,tchau,7,5208
5,yerko  olivares muñoz,17,5528
5,zsim,5,5587
